Id,Weekly_Sales
1_1_2012-11-02,38143.04549042656
1_1_2012-11-09,28704.57349583934
1_1_2012-11-16,28357.7550160213
1_1_2012-11-23,23786.05068573245
1_1_2012-11-30,38100.220729543835
1_1_2012-12-07,25515.883127900895
1_1_2012-12-14,38115.382793914774
1_1_2012-12-21,46497.909388682725
1_1_2012-12-28,23057.263030799622
1_1_2013-01-04,24164.901717006007
1_1_2013-01-11,18623.826623059154
1_1_2013-01-18,20473.65434146095
1_1_2013-01-25,19097.943576098714
1_1_2013-02-01,26193.142390352812
1_1_2013-02-08,35180.3976235527
1_1_2013-02-15,43601.59378663487
1_1_2013-02-22,23412.492410323313
1_1_2013-03-01,32247.859481668347
1_1_2013-03-08,25086.48189696355
1_1_2013-03-15,23350.430634033673
1_1_2013-03-22,23928.87876008264
1_1_2013-03-29,28006.85111528269
1_1_2013-04-05,37079.62275711833
1_1_2013-04-12,33014.29275068172
1_1_2013-04-19,22088.292962609925
1_1_2013-04-26,22817.27485592005
1_1_2013-05-03,27907.682612731267
1_1_2013-05-10,27238.34081292583
1_1_2013-05-17,21061.659797060933
1_1_2013-05-24,18625.491895272648
1_1_2013-05-31,21090.59847430914
1_1_2013-06-07,23795.433919871957
1_1_2013-06-14,23822.207805269692
1_1_2013-06-21,20252.47062671924
1_1_2013-06-28,19673.998955583662
1_1_2013-07-05,21258.195076564505
1_1_2013-07-12,23234.21996932449
1_1_2013-07-19,23215.31754415377
1_1_2013-07-26,20844.97818479455
1_2_2012-11-02,39002.303364885236
1_2_2012-11-09,26416.95904455571
1_2_2012-11-16,31300.97203871327
1_2_2012-11-23,34905.67989163244
1_2_2012-11-30,26787.2806192636
1_2_2012-12-07,40599.01198657327
1_2_2012-12-14,43115.50403256524
1_2_2012-12-21,57239.285511511756
1_2_2012-12-28,33066.420612907146
1_2_2013-01-04,33496.60396080863
1_2_2013-01-11,35008.574773062785
1_2_2013-01-18,35537.79539096258
1_2_2013-01-25,29024.47799842356
1_2_2013-02-01,40497.12606965935
1_2_2013-02-08,37631.394479157105
1_2_2013-02-15,43535.53697549228
1_2_2013-02-22,36428.2138874658
1_2_2013-03-01,41649.846830541435
1_2_2013-03-08,39865.40901725044
1_2_2013-03-15,35372.11132909516
1_2_2013-03-22,35850.377895126156
1_2_2013-03-29,32903.43659485532
1_2_2013-04-05,36474.28866253354
1_2_2013-04-12,39093.6997227784
1_2_2013-04-19,35473.00742920219
1_2_2013-04-26,39124.807745189915
1_2_2013-05-03,26818.947723078654
1_2_2013-05-10,31813.913064984008
1_2_2013-05-17,34695.95880623737
1_2_2013-05-24,37039.909300883744
1_2_2013-05-31,29892.665184547237
1_2_2013-06-07,31006.35436143276
1_2_2013-06-14,30416.99167484145
1_2_2013-06-21,35148.73590592468
1_2_2013-06-28,34556.01788145198
1_2_2013-07-05,34020.42745372922
1_2_2013-07-12,30603.98432754411
1_2_2013-07-19,30110.740014497882
1_2_2013-07-26,34938.72060442229
1_3_2012-11-02,16641.440245769285
1_3_2012-11-09,22907.263339204623
1_3_2012-11-16,25694.286208536814
1_3_2012-11-23,18889.724173276925
1_3_2012-11-30,26770.03215548826
1_3_2012-12-07,28202.831422542702
1_3_2012-12-14,22687.450294955364
1_3_2012-12-21,29719.09889697375
1_3_2012-12-28,15148.359282670168
1_3_2013-01-04,33215.71099104124
1_3_2013-01-11,18649.392138744413
1_3_2013-01-18,16122.977912776776
1_3_2013-01-25,14826.564439335534
1_3_2013-02-01,25635.92070809188
1_3_2013-02-08,19249.197840783247
1_3_2013-02-15,20770.611376441848
1_3_2013-02-22,19887.064464852243
1_3_2013-03-01,21364.31216056635
1_3_2013-03-08,17552.12090207745
1_3_2013-03-15,18276.925183090443
1_3_2013-03-22,18010.86723163243
1_3_2013-03-29,20822.924576603335
1_3_2013-04-05,20785.77784143808
1_3_2013-04-12,21134.85898602512
1_3_2013-04-19,18549.067840423355
1_3_2013-04-26,16392.135050743942
1_3_2013-05-03,24178.791674268272
1_3_2013-05-10,23125.34608607884
1_3_2013-05-17,22815.62615134588
1_3_2013-05-24,17056.53472032981
1_3_2013-05-31,19648.47112253174
1_3_2013-06-07,23321.20461886694
1_3_2013-06-14,20829.901462844547
1_3_2013-06-21,16598.68403878262
1_3_2013-06-28,18609.01551094151
1_3_2013-07-05,20644.68599799787
1_3_2013-07-12,22769.435665320714
1_3_2013-07-19,24498.30152350474
1_3_2013-07-26,24277.631459836964
1_4_2012-11-02,32514.909466635083
1_4_2012-11-09,31878.513739803468
1_4_2012-11-16,38962.871799653694
1_4_2012-11-23,42038.992882164544
1_4_2012-11-30,27168.25104449347
1_4_2012-12-07,36453.11357420755
1_4_2012-12-14,33562.956154035586
1_4_2012-12-21,43363.18556925227
1_4_2012-12-28,29690.616973339667
1_4_2013-01-04,32723.538006699277
1_4_2013-01-11,32210.615878391327
1_4_2013-01-18,28708.25458972524
1_4_2013-01-25,26313.447346588855
1_4_2013-02-01,32219.319379154098
1_4_2013-02-08,30465.502904967063
1_4_2013-02-15,30985.133934753576
1_4_2013-02-22,29724.06587859579
1_4_2013-03-01,30544.02159847342
1_4_2013-03-08,24504.47339813566
1_4_2013-03-15,27443.510380579017
1_4_2013-03-22,28818.86039644221
1_4_2013-03-29,30617.258631883265
1_4_2013-04-05,28395.743404655437
1_4_2013-04-12,30289.405106337672
1_4_2013-04-19,27632.815879758313
1_4_2013-04-26,28777.198050224804
1_4_2013-05-03,27517.2924438743
1_4_2013-05-10,25268.95205396374
1_4_2013-05-17,25076.812787859537
1_4_2013-05-24,29957.91047338112
1_4_2013-05-31,28939.768952565835
1_4_2013-06-07,26264.946745842783
1_4_2013-06-14,26279.675883818443
1_4_2013-06-21,27626.37409743979
1_4_2013-06-28,30197.355816493615
1_4_2013-07-05,25337.279103066
1_4_2013-07-12,26587.916013286387
1_4_2013-07-19,26164.780071195266
1_4_2013-07-26,26682.314328593053
1_5_2012-11-02,25410.57575428768
1_5_2012-11-09,26437.861458616266
1_5_2012-11-16,26677.579453078306
1_5_2012-11-23,54676.839307418755
1_5_2012-11-30,25766.780675718735
1_5_2012-12-07,39099.566855102
1_5_2012-12-14,29285.44164313476
1_5_2012-12-21,64086.14217996656
1_5_2012-12-28,28370.207786025985
1_5_2013-01-04,21260.3617497373
1_5_2013-01-11,21157.47889320923
1_5_2013-01-18,18256.341244280786
1_5_2013-01-25,15120.259137716135
1_5_2013-02-01,29047.157675123493
1_5_2013-02-08,18679.769464292214
1_5_2013-02-15,29341.40233708457
1_5_2013-02-22,22303.588054462558
1_5_2013-03-01,25888.91496508456
1_5_2013-03-08,23634.20071041713
1_5_2013-03-15,25003.503489865423
1_5_2013-03-22,25470.219011528763
1_5_2013-03-29,23733.168654651203
1_5_2013-04-05,25271.835058426517
1_5_2013-04-12,22070.81255842897
1_5_2013-04-19,23210.96880762153
1_5_2013-04-26,22349.745356478365
1_5_2013-05-03,24502.312245527733
1_5_2013-05-10,23294.817987474176
1_5_2013-05-17,23230.42926805592
1_5_2013-05-24,21213.823414871382
1_5_2013-05-31,20345.625721587687
1_5_2013-06-07,24534.10932820144
1_5_2013-06-14,23682.54536938183
1_5_2013-06-21,23532.92977457727
1_5_2013-06-28,22114.53422055486
1_5_2013-07-05,23053.058491935357
1_5_2013-07-12,24098.84079485088
1_5_2013-07-19,23723.678927797922
1_5_2013-07-26,23684.37164666426
1_6_2012-11-02,11133.774149021363
1_6_2012-11-09,14458.539122333585
1_6_2012-11-16,22526.423969480635
1_6_2012-11-23,29550.412106764994
1_6_2012-11-30,29164.34938425101
1_6_2012-12-07,13077.465854696402
1_6_2012-12-14,18019.53172660251
1_6_2012-12-21,31791.958638535634
1_6_2012-12-28,16022.38861274139
1_6_2013-01-04,15115.590302919116
1_6_2013-01-11,10315.770115829906
1_6_2013-01-18,11114.792076822057
1_6_2013-01-25,5787.807968955263
1_6_2013-02-01,11689.88103039451
1_6_2013-02-08,16496.0538330801
1_6_2013-02-15,12620.05620979936
1_6_2013-02-22,14494.11477161597
1_6_2013-03-01,15773.329946066662
1_6_2013-03-08,15059.44019383097
1_6_2013-03-15,21695.840448831765
1_6_2013-03-22,20815.894704016035
1_6_2013-03-29,15784.642387980037
1_6_2013-04-05,13110.433046905811
1_6_2013-04-12,14193.61653568965
1_6_2013-04-19,17366.336116516577
1_6_2013-04-26,15782.726669159498
1_6_2013-05-03,21217.36720046937
1_6_2013-05-10,23197.077680415252
1_6_2013-05-17,20395.50459137769
1_6_2013-05-24,15844.41408273518
1_6_2013-05-31,17559.45974887087
1_6_2013-06-07,22367.138423401542
1_6_2013-06-14,21186.069468426926
1_6_2013-06-21,20956.277129957067
1_6_2013-06-28,15501.387602142353
1_6_2013-07-05,19888.371169706923
1_6_2013-07-12,23293.39149992508
1_6_2013-07-19,24276.99401570927
1_6_2013-07-26,23627.02381380896
1_7_2012-11-02,23078.105991358247
1_7_2012-11-09,24411.718199514482
1_7_2012-11-16,23969.042014611685
1_7_2012-11-23,56877.33551595369
1_7_2012-11-30,25152.30794662871
1_7_2012-12-07,49583.2380111508
1_7_2012-12-14,54272.86427922514
1_7_2012-12-21,133250.7524382651
1_7_2012-12-28,29744.48215077074
1_7_2013-01-04,18726.9296607716
1_7_2013-01-11,14904.349129050708
1_7_2013-01-18,13712.506032071766
1_7_2013-01-25,14628.147657245565
1_7_2013-02-01,21380.859764611418
1_7_2013-02-08,23387.786493415435
1_7_2013-02-15,21739.606628898513
1_7_2013-02-22,20173.531940635185
1_7_2013-03-01,19486.918732184608
1_7_2013-03-08,21557.897977429693
1_7_2013-03-15,23214.195635573415
1_7_2013-03-22,22550.15891918359
1_7_2013-03-29,19653.48789364773
1_7_2013-04-05,24908.468416835276
1_7_2013-04-12,22333.78744257086
1_7_2013-04-19,22204.88593761961
1_7_2013-04-26,24945.365057224804
1_7_2013-05-03,24862.245713259712
1_7_2013-05-10,24545.13567702239
1_7_2013-05-17,23131.251537459273
1_7_2013-05-24,25096.61911952944
1_7_2013-05-31,27702.170551881532
1_7_2013-06-07,24766.981970425706
1_7_2013-06-14,25164.800485670956
1_7_2013-06-21,24471.774177841864
1_7_2013-06-28,16768.527881549617
1_7_2013-07-05,24982.772843451392
1_7_2013-07-12,24147.07517299375
1_7_2013-07-19,23801.536840425146
1_7_2013-07-26,23328.69125078577
1_8_2012-11-02,35336.7899191834
1_8_2012-11-09,28150.688810036623
1_8_2012-11-16,29960.835612031686
1_8_2012-11-23,37300.117599520454
1_8_2012-11-30,24767.528819339608
1_8_2012-12-07,36455.204752016776
1_8_2012-12-14,36247.043628753934
1_8_2012-12-21,42201.29279159713
1_8_2012-12-28,30271.2019025392
1_8_2013-01-04,27099.88407918985
1_8_2013-01-11,28016.992031094695
1_8_2013-01-18,27705.285840917742
1_8_2013-01-25,28431.898983984185
1_8_2013-02-01,31972.977792369104
1_8_2013-02-08,30668.890722520104
1_8_2013-02-15,28564.290461643577
1_8_2013-02-22,29664.685569449517
1_8_2013-03-01,33090.243444293395
1_8_2013-03-08,23635.9766457646
1_8_2013-03-15,26668.89391514877
1_8_2013-03-22,28176.53103761884
1_8_2013-03-29,29933.631657951864
1_8_2013-04-05,34448.671677011596
